indicator,available_n,test_type,effect,direction_supports_disorder_axis,data_sufficiency
f_gas,41,spearman_with_D_unsettled,-0.862020905923345,False,available
f_star_low,41,binary_rank_association_with_D_unsettled,-0.5889653057378592,False,available
RHI_extended,41,binary_rank_association_with_D_unsettled,0.09072647087265548,True,available
low_surface_density,41,binary_rank_association_with_D_unsettled,-0.46443921185942627,False,available
failed_stalled_flag,41,binary_rank_association_with_D_unsettled,-0.23307809168902352,False,available
disturbed_classification,41,binary_rank_association_with_D_unsettled,0.258275723222972,True,available
severe_underrotation,41,binary_rank_association_with_D_unsettled,0.4521575262797564,True,available
f_star,41,spearman_with_D_unsettled,0.862020905923345,False,available
log10_Sigma_b,41,spearman_with_D_unsettled,0.4853658536585367,False,available
asymmetry_or_warp_available,41,binary_rank_association_with_D_unsettled,0.32651488344632795,True,sparse
