model,variable,n,pearson_r,spearman_rho,linear_slope,abs_spearman_rho
m3_scalar_q_only,stellar_to_gas_ratio,87,-0.4180715175228736,-0.3770686010060508,-0.0027541815249506,0.3770686010060508
m3_scalar_q_only,star_frac,87,-0.3865556337272846,-0.3770686010060508,-0.0872544801363712,0.3770686010060508
m3_scalar_q_only,gas_frac,87,0.3865556337272844,0.3770686010060508,0.0872544801363712,0.3770686010060508
m3_scalar_q_only,v_flat_obs_km_s,87,-0.4210250832412153,-0.3769956987679521,-0.000354072541395,0.3769956987679521
m3_scalar_q_only,S_star_gas,87,-0.3952560403926445,-0.3732981786635803,-0.3948736791254579,0.3732981786635803
m4a_halo_only,S_star_gas,87,-0.4249079223320385,-0.380005563292039,-0.4338945321462296,0.380005563292039
m4a_halo_only,stellar_to_gas_ratio,87,-0.4440075043824109,-0.3674272800174964,-0.0029897988361787,0.3674272800174964
m4a_halo_only,star_frac,87,-0.3830924939907245,-0.3674272800174964,-0.0883871334649418,0.3674272800174964
m4a_halo_only,gas_frac,87,0.3830924939907245,0.3674272800174964,0.0883871334649417,0.3674272800174964
m4a_halo_only,v_flat_obs_km_s,87,-0.412096218969169,-0.3592440037909163,-0.0003542359108042,0.3592440037909163
m4b_halo_star_gas,v_flat_obs_km_s,87,-0.3361339688412489,-0.3054057009550193,-0.0002702548904797,0.3054057009550193
m4b_halo_star_gas,star_frac,87,-0.3008954648012146,-0.2836261573230298,-0.0649334159791209,0.2836261573230298
m4b_halo_star_gas,gas_frac,87,0.3008954648012145,0.2836261573230298,0.0649334159791209,0.2836261573230298
m4b_halo_star_gas,stellar_to_gas_ratio,87,-0.2839074215403102,-0.2836261573230298,-0.0017881156562029,0.2836261573230298
m4b_halo_star_gas,S_star_gas,87,-0.2506824918522772,-0.2649774973683998,-0.2394310962757869,0.2649774973683998
m4c_full_frozen,M_gas_Msun,87,0.1876781753651001,0.3301772451952833,9.826288659189004e-13,0.3301772451952833
m4c_full_frozen,RHI,87,0.2265959609164128,0.3198461735271609,0.0008746398046024,0.3198461735271609
m4c_full_frozen,H_halo,87,0.196081137322981,0.2026865700949505,0.2440898405980032,0.2026865700949505
m4c_full_frozen,r_over_Rdisk_eval,87,0.1419873823842553,0.2026865700949505,0.0044511804029174,0.2026865700949505
m4c_full_frozen,Reff,87,0.117567792112308,0.1954826922094617,0.0024987011595632,0.1954826922094617
mond_simple_btfr,stellar_to_gas_ratio,87,-0.4180715175228737,-0.3770686010060508,-0.0027541815249506,0.3770686010060508
mond_simple_btfr,gas_frac,87,0.3865556337272846,0.3770686010060508,0.0872544801363712,0.3770686010060508
mond_simple_btfr,star_frac,87,-0.3865556337272844,-0.3770686010060508,-0.0872544801363712,0.3770686010060508
mond_simple_btfr,v_flat_obs_km_s,87,-0.4210250832412153,-0.3769956987679521,-0.000354072541395,0.3769956987679521
mond_simple_btfr,S_star_gas,87,-0.3952560403926444,-0.3732981786635803,-0.3948736791254579,0.3732981786635803
newtonian_outer,log10_M_baryon_Msun,87,0.6373356740777045,0.6520922942334328,0.0783836172088103,0.6520922942334328
newtonian_outer,M_baryon_Msun,87,0.5059643829279826,0.6520922942334328,7.804457460434402e-13,0.6520922942334328
newtonian_outer,star_frac,87,0.6092332384405329,0.6501786104833418,0.2254210139397219,0.6501786104833418
newtonian_outer,gas_frac,87,-0.6092332384405329,-0.6501786104833418,-0.2254210139397222,0.6501786104833418
newtonian_outer,stellar_to_gas_ratio,87,0.3947929098126875,0.6501786104833418,0.0042633050202645,0.6501786104833418
